Station_Id_C,Lon,Lat,Alti,Station_levl,Province,City,Cnty,Country,ProvinceCode,CityCode,CntyCode
895702,85.91,45.15,0.0,14,新疆维吾尔自治区,昌吉回族自治州,玛纳斯县,中国,650000,652300,652324
895703,85.95,44.55,0.0,14,新疆维吾尔自治区,塔城地区,沙湾市,中国,650000,654200,654203
895711,85.75,43.99,0.0,14,新疆维吾尔自治区,塔城地区,沙湾市,中国,650000,654200,654203
895716,85.29,44.21,0.0,14,新疆维吾尔自治区,塔城地区,沙湾市,中国,650000,654200,654203
895717,85.4,44.03,0.0,14,新疆维吾尔自治区,塔城地区,沙湾市,中国,650000,654200,654203
895751,90.54,43.01,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895752,89.65,42.82,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895754,90.16,43.18,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895755,89.99,43.17,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895757,89.37,43.2,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895758,89.77,43.25,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895759,87.82,42.82,0.0,14,新疆维吾尔自治区,吐鲁番市,托克逊县,中国,650000,650400,650422
895760,88.53,42.41,0.0,14,新疆维吾尔自治区,吐鲁番市,托克逊县,中国,650000,650400,650422
895764,88.87,43.22,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895765,89.05,43.15,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895766,90.32,43.07,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895770,88.26,43.06,0.0,14,新疆维吾尔自治区,吐鲁番市,托克逊县,中国,650000,650400,650422
895772,87.64,43.24,0.0,14,新疆维吾尔自治区,吐鲁番市,托克逊县,中国,650000,650400,650422
895773,88.97,42.87,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895782,89.63,42.99,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895783,89.51,42.83,0.0,14,新疆维吾尔自治区,吐鲁番市,高昌区,中国,650000,650400,650402
895786,89.98,42.88,0.0,14,新疆维吾尔自治区,吐鲁番市,鄯善县,中国,650000,650400,650421
895790,88.46,42.83,0.0,14,新疆维吾尔自治区,吐鲁番市,托克逊县,中国,650000,650400,650422
895801,86.02,42.34,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895802,84.94,43.13,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895803,84.35,42.83,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895805,86.36,42.07,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,焉耆回族自治县,中国,650000,652800,652826
895806,86.94,42.48,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895807,87.35,42.85,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895808,83.73,42.83,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895809,86.77,41.73,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,博湖县,中国,650000,652800,652829
895810,84.65,41.98,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895811,84.0,42.04,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895812,87.04,38.7,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895813,88.42,39.61,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,若羌县,中国,650000,652800,652824
895814,87.11,42.27,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,中国,650000,652800,652828
895815,84.54,43.27,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895816,87.31,42.39,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,中国,650000,652800,652828
895819,85.95,43.06,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895820,84.27,41.59,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895822,87.41,40.72,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,尉犁县,中国,650000,652800,652823
895824,84.21,41.25,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,中国,650000,652800,652822
895825,87.34,42.23,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,中国,650000,652800,652828
895826,84.27,42.72,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895827,85.53,42.34,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895828,83.34,42.93,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
895829,84.85,43.2,0.0,14,新疆维吾尔自治区,巴音郭楞蒙古自治州,和静县,中国,650000,652800,652827
